cell_id,seed,structure,capacity,support_intensity,pre_bottleneck,migrated,first_migration,delta_cap_h7,delta_cap_h30,delta_cap_h90,delta_cap_h180,delta_cap_h360,q_on_h360,q_off_h360,delta_q_h360,bott_on_h360,bott_off_h360,same_terminal_bottleneck,common_bottleneck,I_on,I_off,D_on,D_off,delta_I,delta_D,delta_log_I,delta_log_D,delta_log_q_decomp,q_off,q_on_observed,q_on_control_demand,q_off_supported_demand,observed_effect,production_only_effect,demand_only_effect,residual_nonadditivity
phase_062,2026200003,logistics_constrained,0.6,1.5,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.869466926,1.0,-0.13053307400000003,logistics,logistics,True,logistics,13488.309729454,13488.309729454,15513.309729455,13488.309729454,0.0,2025.0000000010004,0.0,0.13987498335263676,-0.13987498335263676,1.0,0.8694669264447065,1.0,0.8694669264447065,-0.13053307355529353,0.0,-0.13053307355529353,0.0
phase_062,2026200004,logistics_constrained,0.6,1.5,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.899326664,0.999999999,-0.10067333499999997,logistics,logistics,True,logistics,18089.561806361,18089.561806361,20114.561851468,18089.561833262,0.0,2025.0000182059994,0.0,0.10610894536069729,-0.10610894536069729,0.9999999985128994,0.8993266639333132,0.9999999985128994,0.8993266639333132,-0.10067333457958627,0.0,-0.10067333457958627,0.0
phase_062,2026200005,logistics_constrained,0.6,1.5,logistics,False,,0.007294080999999952,0.022709321999999976,0.02788462700000005,0.021650806999999994,0.011344118000000014,0.904420922,0.999999999,-0.09557907700000001,logistics,logistics,True,logistics,19161.64556783,19161.64556783,21186.645611505,19161.645593638,0.0,2025.000017866998,0.0,0.10046040341914864,-0.10046040341914864,0.9999999986531428,0.9044209224618662,0.9999999986531428,0.9044209224618662,-0.09557907619127659,0.0,-0.09557907619127659,0.0
phase_062,2026200006,logistics_constrained,0.6,1.5,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.872076135,1.0,-0.12792386499999997,logistics,logistics,True,logistics,13804.728037488,13804.728037488,15829.728037488,13804.728037488,0.0,2025.0,0.0,0.13687854865130564,-0.13687854865130564,1.0,0.8720761345233228,1.0,0.8720761345233228,-0.12792386547667722,0.0,-0.12792386547667722,0.0
phase_062,2026200007,logistics_constrained,0.6,1.5,logistics,False,,0.010609771000000046,0.029466313000000022,0.03615950899999998,0.031859618000000034,0.02376356199999996,0.892436138,1.0,-0.10756386200000001,logistics,logistics,True,logistics,16801.025414942,16801.025414942,18826.025419359,16801.025423142,0.0,2024.9999962170004,0.0,0.1138003217120352,-0.1138003217120352,0.9999999995119345,0.8924361377768739,0.9999999995119345,0.8924361377768739,-0.1075638617350606,0.0,-0.1075638617350606,0.0
phase_007,2026200001,forcegen_constrained,0.1,2.0,logistics,False,,0.004136529999999916,0.01436134999999994,0.027579448999999978,-0.11680910499999997,0.12331723900000008,0.930350644,0.999739814,-0.06938917,logistics,logistics,True,logistics,35618.69230585,36038.391578721,38285.234210867,36047.770708856,-419.6992728709956,2237.463502011,-0.011714238132138512,0.06021926915635538,-0.07193350728849389,0.9997398138650306,0.9303506440543045,0.9880969503919813,0.9413130759558407,-0.06938916981072618,-0.011642863473049325,-0.05842673790918995,0.000680431571513096
phase_062,2026200008,logistics_constrained,0.6,1.5,logistics,False,,0.010267330000000019,0.02866454399999996,0.03511725200000004,0.03100535400000004,0.023225209000000024,0.898873501,1.0,-0.10112649900000004,logistics,logistics,True,logistics,17999.425066954,17999.425066954,20024.425073209,17999.425075726,0.0,2024.9999974829989,0.0,0.10661296494216439,-0.10661296494216439,0.9999999995126511,0.8988735007945732,0.9999999995126511,0.8988735007945732,-0.10112649871807788,0.0,-0.10112649871807788,0.0
phase_062,2026200009,logistics_constrained,0.6,1.5,logistics,False,,0.010953223999999984,0.03042946000000002,0.037069931,0.03201135899999996,0.022955037999999983,0.894276222,1.0,-0.10572377799999999,logistics,logistics,True,logistics,17128.685545266,17128.685545266,19153.685549977,17128.685553353,0.0,2024.9999966239993,0.0,0.11174057823981416,-0.11174057823981416,0.999999999527868,0.89427622170014,0.999999999527868,0.89427622170014,-0.10572377782772802,0.0,-0.10572377782772802,0.0
phase_062,2026200010,logistics_constrained,0.6,1.5,logistics,False,,0.0,0.0,0.0,0.0,0.0,0.886605894,1.0,-0.113394106,logistics,logistics,True,logistics,15833.070973534,15833.070973534,17858.070973534,15833.070973534,0.0,2024.9999999999982,0.0,0.12035470927165248,-0.12035470927165248,1.0,0.8866058936040132,1.0,0.8866058936040132,-0.1133941063959868,0.0,-0.1133941063959868,0.0
phase_062,2026200011,logistics_constrained,0.6,1.5,logistics,False,,0.010723968000000084,0.029792901999999954,0.03682358299999999,0.03312835000000003,0.02655815099999992,0.895126931,1.0,-0.10487306900000004,logistics,logistics,True,logistics,17284.056322224,17284.056322224,19309.056327054,17284.056328584,0.0,2024.9999984700007,0.0,0.11078974853003358,-0.11078974853003358,0.9999999996320309,0.8951269305692188,0.9999999996320309,0.8951269305692188,-0.10487306906281213,0.0,-0.10487306906281213,0.0
