cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_068,logistics_constrained,0.8,1.0,2026200002,180,0.906845699,0.82898425,0.830458868,-0.07638683099999999,-0.07786144900000003,0.0014746180000000386
phase_068,logistics_constrained,0.8,1.0,2026200002,360,0.909230383,0.827999751,0.828493615,-0.08073676800000007,-0.08123063200000002,0.000493863999999955
phase_068,logistics_constrained,0.8,1.0,2026200003,7,0.849141503,0.811407505,0.873165859,0.02402435599999997,-0.03773399799999999,0.06175835399999996
phase_068,logistics_constrained,0.8,1.0,2026200003,30,0.747632208,0.579021536,0.824110549,0.07647834100000006,-0.16861067200000002,0.24508901300000008
phase_068,logistics_constrained,0.8,1.0,2026200003,90,0.642921472,0.0,0.779137325,0.13621585299999994,-0.642921472,0.779137325
phase_068,logistics_constrained,0.8,1.0,2026200003,180,0.0,0.0,0.718297422,0.718297422,0.0,0.718297422
phase_068,logistics_constrained,0.8,1.0,2026200003,360,0.0,0.0,0.546291424,0.546291424,0.0,0.546291424
phase_068,logistics_constrained,0.8,1.0,2026200004,7,0.894590977,0.871961404,0.874229601,-0.020361375999999987,-0.022629573000000014,0.0022681970000000273
phase_068,logistics_constrained,0.8,1.0,2026200004,30,0.900027493,0.834746091,0.846424651,-0.053602841999999984,-0.06528140199999999,0.011678560000000004
phase_068,logistics_constrained,0.8,1.0,2026200004,90,0.900741309,0.846621437,0.841346456,-0.059394853000000025,-0.05411987200000001,-0.005274981000000012
phase_068,logistics_constrained,0.8,1.0,2026200004,180,0.901895942,0.834084976,0.836453745,-0.06544219699999998,-0.06781096600000003,0.0023687690000000483
phase_068,logistics_constrained,0.8,1.0,2026200004,360,0.898191082,0.835728701,0.830231158,-0.06795992399999995,-0.06246238100000001,-0.005497542999999938
phase_068,logistics_constrained,0.8,1.0,2026200005,7,0.874278566,0.900234746,0.89264207,0.018363503999999975,0.025956179999999995,-0.00759267600000002
phase_068,logistics_constrained,0.8,1.0,2026200005,30,0.845317586,0.866113796,0.872761439,0.027443853000000074,0.020796210000000093,0.006647642999999981
phase_068,logistics_constrained,0.8,1.0,2026200005,90,0.749283204,0.764211043,0.77210672,0.022823515999999988,0.014927838999999943,0.007895677000000045
phase_068,logistics_constrained,0.8,1.0,2026200005,180,0.746391425,0.746119109,0.74762116,0.0012297350000000096,-0.0002723159999999947,0.0015020510000000042
phase_068,logistics_constrained,0.8,1.0,2026200005,360,0.747465383,0.737942308,0.742345362,-0.005120020999999975,-0.009523074999999936,0.004403053999999962
phase_068,logistics_constrained,0.8,1.0,2026200006,7,0.861987929,0.0,0.0,-0.861987929,-0.861987929,0.0
phase_068,logistics_constrained,0.8,1.0,2026200006,30,0.882061054,0.0,0.0,-0.882061054,-0.882061054,0.0
phase_068,logistics_constrained,0.8,1.0,2026200006,90,0.843975259,0.0,0.0,-0.843975259,-0.843975259,0.0
phase_068,logistics_constrained,0.8,1.0,2026200006,180,0.729815582,0.0,0.0,-0.729815582,-0.729815582,0.0
phase_068,logistics_constrained,0.8,1.0,2026200006,360,0.683629154,0.0,0.0,-0.683629154,-0.683629154,0.0
phase_068,logistics_constrained,0.8,1.0,2026200007,7,0.903094115,0.902175938,0.903132264,3.814899999998733e-05,-0.0009181770000000755,0.0009563260000000628
phase_068,logistics_constrained,0.8,1.0,2026200007,30,0.903506283,0.898277822,0.899730073,-0.0037762100000000576,-0.005228461000000073,0.0014522510000000155
phase_068,logistics_constrained,0.8,1.0,2026200007,90,0.904314226,0.896154538,0.896649577,-0.007664648999999968,-0.008159687999999998,0.0004950390000000304
phase_068,logistics_constrained,0.8,1.0,2026200007,180,0.905507526,0.901684755,0.90359387,-0.0019136559999999303,-0.003822770999999947,0.0019091150000000168
