factor_target,factor_severity,factor_assistance_mode,factor_intensity,n,mean_delta_composite_capability_h30,median_delta_composite_capability_h30,delta_composite_capability_h30_boot95_lo,delta_composite_capability_h30_boot95_hi,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,mean_relevant_delta_indigenous_h360,median_relevant_delta_indigenous_h360,relevant_delta_indigenous_h360_boot95_lo,relevant_delta_indigenous_h360_boot95_hi,mean_relevant_delta_demand_h360,median_relevant_delta_demand_h360,relevant_delta_demand_h360_boot95_lo,relevant_delta_demand_h360_boot95_hi,mean_relevant_delta_coverage_capped_h360,median_relevant_delta_coverage_capped_h360,relevant_delta_coverage_capped_h360_boot95_lo,relevant_delta_coverage_capped_h360_boot95_hi,mean_delta_cum_interval_donor_cost_h360,median_delta_cum_interval_donor_cost_h360,delta_cum_interval_donor_cost_h360_boot95_lo,delta_cum_interval_donor_cost_h360_boot95_hi
command,severe,hybrid,1.0,12,0.01571357091666661,0.0068182514999999,0.005663324164583268,0.031232900347916575,0.053536487083333334,0.0,-0.009672198716666634,0.13736363804791665,0.38882356991666667,0.17815442449999996,-0.09110038701250006,0.9166490190645834,0.041666666666666664,0.0,-1.3333333333333333,1.5,0.08733819554859151,0.0873377763726237,0.06020452816211423,0.11303830084223065,1063800.0,1063800.0,1063800.0,1063800.0
command,severe,none,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command,severe,substitution,0.5,12,-0.0037905694166666614,0.0,-0.010535582416666642,0.0,0.03173494391666667,0.0,-0.021074152999999988,0.10513153591666664,0.04286518975000003,0.0,-0.17545966533333335,0.2610186650020834,0.2916666666666667,0.0,-0.75,1.3333333333333333,-0.0007458595729702104,0.0,-0.0021058508295333433,5.393291721612308e-05,604800.0,604800.0,604800.0,604800.0
command,severe,substitution,1.0,12,0.007235251249999983,0.0,-0.0001823667500000012,0.017923223493749946,0.05932180008333333,0.007014799,0.015025759916666668,0.11119596550208329,-0.06477094258333337,0.0,-0.16479938044583342,0.016687807499999992,-0.08333333333333333,0.0,-0.625,0.3333333333333333,-0.0070361355054369724,0.0,-0.01716124544722089,0.000850236348307628,604800.0,604800.0,604800.0,604800.0
forcegen,moderate,development,0.5,12,6.166666658794877e-09,6.499999982700899e-09,5.083333346848444e-09,7.166666649016662e-09,0.0,0.0,0.0,0.0,188.17356955008336,189.7420277575,182.06779832914378,193.47922877231457,0.0,0.0,0.0,0.0,,,,,297000.0,297000.0,297000.0,297000.0
forcegen,moderate,development,1.0,12,1.5416666665490908e-08,1.5999999991578306e-08,1.266666667850321e-08,1.799999999075689e-08,0.0,0.0,0.0,0.0,383.2128662000834,389.1320367260001,367.0566804121125,397.5022644730876,0.0,0.0,0.0,0.0,,,,,594000.0,594000.0,594000.0,594000.0
forcegen,moderate,hybrid,0.5,12,3.099166666631348e-07,3.0550000001960953e-07,2.5808124998240773e-07,3.639999999934436e-07,0.0,0.0,0.0,0.0,-200.84029961975,-201.14999904500002,-202.61822900936667,-198.8811348123542,0.0,0.0,0.0,0.0,,,,,229852.14739563447,230053.2149486055,228372.09162199797,231207.6802423094
forcegen,moderate,hybrid,1.0,12,3.443333333371286e-07,3.2650000003631163e-07,2.719166666831363e-07,4.197520833410887e-07,0.0,0.0,0.0,0.0,-267.67513119625,-267.7808622465,-270.5199942816042,-264.7616930519375,0.0,0.0,0.0,0.0,,,,,401548.9583852971,402161.879129249,399173.4122152169,403780.5558136025
forcegen,moderate,none,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
forcegen,moderate,substitution,0.5,12,3.080833333261405e-07,2.9000000001389026e-07,2.428333333211648e-07,3.767520833452183e-07,0.0,0.0,0.0,0.0,-268.6294743753333,-268.73593160400003,-271.839263912725,-265.1761166477104,0.0,0.0,0.0,0.0,,,,,87487.06609249009,87700.4965214025,85970.92380186608,88966.93984536431
forcegen,moderate,substitution,1.0,12,3.459999999936662e-07,3.2999999993732487e-07,2.7533333334569165e-07,4.21418749988837e-07,0.0,0.0,0.0,0.0,-290.641963912,-290.815374936,-294.49032694434794,-286.47753007100414,0.0,0.0,0.0,0.0,,,,,93756.77531640926,94008.9341330025,92000.09968549122,95471.72480366968
forcegen,severe,development,0.5,12,1.0000000087255028e-09,9.999999717180683e-10,6.666666755676213e-10,1.3333333418833841e-09,0.0,0.0,0.0,0.0,62.25159235125,62.394871549499996,61.91159048803749,62.51769319508958,0.0,0.0,0.0,0.0,,,,,297000.0,297000.0,297000.0,297000.0
forcegen,severe,development,1.0,12,2.7500000054914153e-09,2.999999970665357e-09,2.166666651648441e-09,3.333333340830673e-09,0.0,0.0,0.0,0.0,202.21287399733333,201.551968119,199.5443542570604,204.70194762970212,0.0,0.0,0.0,0.0,,,,,594000.0,594000.0,594000.0,594000.0
forcegen,severe,hybrid,0.5,12,1.8941666670343102e-07,1.930000000371912e-07,1.5625000003086086e-07,2.2166875004864247e-07,0.0,0.0,0.0,0.0,-46.40445021683333,-46.421328011,-46.4642698031,-46.347377840997915,0.0,0.0,0.0,0.0,,,,,189838.44230013437,189847.008600036,189762.2859203765,189899.15467472275
forcegen,severe,hybrid,1.0,12,2.690833333374165e-07,2.74500000008171e-07,2.212500000061309e-07,3.1500000001021453e-07,0.0,0.0,0.0,0.0,-58.44313470591666,-58.473585406,-58.5749008889271,-58.31717779971874,0.0,0.0,0.0,0.0,,,,,352980.2549785752,353082.188402673,352761.3226736503,353137.40514918143
