factor_structure,factor_capacity_level,factor_capacity_level_index,factor_support_intensity,n,mean_delta_capability_h30,median_delta_capability_h30,delta_capability_h30_boot95_lo,delta_capability_h30_boot95_hi,delta_capability_h30_q10,delta_capability_h30_q90,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,delta_q_feasible_h360_q10,delta_q_feasible_h360_q90,effective_seed_count,effective_seed_fraction,effective_seed_fraction_wilson95_lo,effective_seed_fraction_wilson95_hi,trap_seed_count,trap_seed_fraction,trap_seed_fraction_wilson95_lo,trap_seed_fraction_wilson95_hi,build_seed_count,build_seed_fraction,build_seed_fraction_wilson95_lo,build_seed_fraction_wilson95_hi,trap_fraction_among_effective,trap_among_effective_wilson95_lo,trap_among_effective_wilson95_hi,build_fraction_among_effective,build_among_effective_wilson95_lo,build_among_effective_wilson95_hi,phase_regime,robust_phase_regime
balanced_capacity,0.55,2,0.75,12,0.008567911583333308,0.00745307549999995,0.0039939887499999835,0.013383600720833293,0.0,0.0183428904999999,-0.06008321383333329,-0.05909587499999995,-0.06217905180208325,-0.05827915262708332,-0.0653570563999999,-0.05701903729999999,6,0.5,0.2537815976337061,0.7462184023662939,6,0.5,0.2537815976337061,0.7462184023662939,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6096657120978346,1.0,0.0,2.7755575615628914e-17,0.3903342879021653,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.55,2,1.0,12,0.012578289916666643,0.01790565799999995,0.0066081050520833,0.01854756437499994,0.0,0.0240041109999999,-0.07756603316666662,-0.07680522999999995,-0.07965609122291661,-0.07569210627083331,-0.08196114909999991,-0.07355536709999991,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.55,2,1.5,12,0.0230600180833333,0.027130029499999903,0.010251392249999967,0.03815587774166663,0.0,0.0343171197999999,-0.11156180366666663,-0.1109464094999999,-0.1142288880083333,-0.10941816941874996,-0.1139534212,-0.10778315029999999,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.55,2,2.0,12,0.02765457649999997,0.038574213999999954,0.016809185010416627,0.0382383682166666,0.0,0.0438126257999999,-0.14622469783333328,-0.14323152399999994,-0.1524462103958333,-0.1411018673729166,-0.1575330539,-0.1388249153999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.7,3,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
balanced_capacity,0.7,3,0.25,12,0.0002762798333332835,0.0015359349999999,-0.003466087250000033,0.002555524841666609,0.0,0.00352315629999999,-0.016172580416666624,-0.01656844549999995,-0.017834314779166627,-0.014040254987499959,-0.019800248999999912,-0.014963948799999901,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,uncertain_or_mixed
balanced_capacity,0.7,3,0.5,12,0.004321621999999967,0.00606872949999995,0.0025352877041666584,0.005981363399999932,0.0,0.0070945326999999,-0.03537260733333327,-0.03406767599999995,-0.037871847743749916,-0.03296118033124991,-0.040353195399999896,-0.0303934186999999,9,0.75,0.46769466506643426,0.9110583316059453,9,0.75,0.46769466506643426,0.9110583316059453,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.7008549515804559,1.0,0.0,0.0,0.2991450484195441,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.7,3,0.75,12,0.005541525333333325,0.007771516500000001,0.0012875800520833495,0.00936998446666665,0.0,0.01111828259999999,-0.050310309249999935,-0.04815530149999985,-0.05300606223541661,-0.047860061627083235,-0.057573212500000005,-0.0459848785999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.7,3,1.0,12,0.051726395416666626,0.01313727199999995,0.005122120833333316,0.13975112241874996,0.0,0.0202877417999999,-0.06694048391666661,-0.06344066999999995,-0.0706309697395833,-0.06355124846041657,-0.0757565781999999,-0.06130637489999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.7,3,1.5,12,0.007806736749999985,0.0092386235,-0.008163162783333327,0.020102681460416646,0.0,0.029221590400000004,-0.09662582249999997,-0.094051743,-0.10033083825833332,-0.09336278219166662,-0.1046535563,-0.09041499019999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,uncertain_or_mixed
