factor_starting_structure,factor_support_target,factor_support_intensity,observed_target_match,n,persistent_migration_count,persistent_migration_fraction,persistent_migration_wilson95_lo,persistent_migration_wilson95_hi,median_migration_time_days_among_migrated,mean_bottleneck_path_entropy,mean_delta_capability_h30,mean_delta_q_feasible_h360,mean_delta_smooth_q_arithmetic_h360,mean_delta_smooth_q_geometric_h360,mean_delta_smooth_q_harmonic_h360,sign_concordance_arithmetic,sign_concordance_geometric,sign_concordance_harmonic
near_tie_low,balanced,0.5,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.0,0.007763354666666641,-0.04100822091666662,-0.041008220960213865,-0.04100822096021379,-0.041008220960213816,1.0,1.0,1.0
near_tie_low,balanced,1.0,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.0,0.015215532333333311,-0.07994096549999996,-0.0799409655081156,-0.07994096550811561,-0.07994096550811554,1.0,1.0,1.0
near_tie_low,balanced,1.5,False,12,3,0.25,0.08894166839405471,0.5323053349335657,7.0,0.0,0.013507487999999993,-0.11639513024999996,-0.11639513009172804,-0.11639513009172807,-0.11639513009172797,1.0,1.0,1.0
near_tie_low,command,0.5,False,11,3,0.2727272727272727,0.09746059290024889,0.5656453011761291,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,command,0.5,True,1,1,1.0,0.20654931437723745,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,command,1.0,False,11,1,0.09090909090909091,0.016232172885884855,0.37735843645159567,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,command,1.0,True,1,1,1.0,0.20654931437723745,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,command,1.5,False,10,3,0.3,0.10779126740630099,0.6032218525388546,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,command,1.5,True,2,2,1.0,0.34238022750665303,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,forcegen,0.5,False,8,2,0.25,0.071479212752109,0.5907245696898311,7.0,0.0,2.458750000128296e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,forcegen,0.5,True,4,4,1.0,0.5101091635454027,1.0,7.0,0.0,1.975000000209448e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,forcegen,1.0,False,8,2,0.25,0.071479212752109,0.5907245696898311,7.0,0.0,2.0212500001504097e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,forcegen,1.0,True,4,4,1.0,0.5101091635454027,1.0,7.0,0.0,1.6474999997573292e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
near_tie_low,forcegen,1.5,False,8,2,0.25,0.071479212752109,0.5907245696898311,7.0,0.0,2.0837500000481235e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
