factor_starting_structure,factor_channels,factor_channel_count,factor_dose_regime,factor_intensity,factor_normalized_total_effort,n,mean_gain_q_vs_control,median_gain_q_vs_control,gain_q_boot95_lo,gain_q_boot95_hi,mean_gain_capability_vs_control,median_gain_capability_vs_control,gain_capability_boot95_lo,gain_capability_boot95_hi
forcegen_constrained,logistics+command,2,equal_channel_dose,1.0,2.0,16,0.1290388124375,0.04863654299999998,-0.06711591999999998,0.3208156105546875,0.12695567781250003,0.06078395550000004,0.05826829366875002,0.2064644346296875
forcegen_constrained,logistics+command,2,equal_total_effort,0.5,0.5,16,0.05447867375000001,0.01845965500000002,-0.08343381294531249,0.19649792811562503,0.0613570946875,0.02595810100000001,-0.001393056768750015,0.1301149702390625
forcegen_constrained,logistics+command,2,equal_total_effort,1.0,1.0,16,-0.017015117374999986,0.005912475500000014,-0.20314530712499998,0.16155049122031248,0.065531233375,0.03777024700000001,0.009194627329687514,0.13242974401249996
logistics_constrained,command,1,single_reference,0.5,0.5,16,-0.001190700062500015,-1.3500000006771984e-08,-0.012939952932812512,0.009785461751562485,0.0,0.0,0.0,0.0
logistics_constrained,command,1,single_reference,1.0,1.0,16,0.017291297374999987,0.00122507500000002,-0.005962909428125016,0.050174558012499974,0.0,0.0,0.0,0.0
logistics_constrained,forcegen,1,single_reference,0.5,0.5,16,0.0038986105625000017,0.0,-0.00012784043750000557,0.011754623999999998,0.0,0.0,0.0,0.0
logistics_constrained,forcegen,1,single_reference,1.0,1.0,16,0.007309665124999996,0.0,-0.00039010800468750853,0.0223187963828125,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+command,2,equal_channel_dose,0.5,1.0,16,0.0026185843124999914,-1.3999999992631018e-08,-0.010987457082812508,0.01627076835312499,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+command,2,equal_channel_dose,1.0,2.0,16,0.017122958562499985,0.0013887025000000053,-0.006051314232812514,0.04995937732499999,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+command,2,equal_total_effort,0.5,0.5,16,0.0021042711874999995,-1.0000000272292198e-09,-0.006407678210937505,0.011371163256249985,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+command,2,equal_total_effort,1.0,1.0,16,0.0026185843124999914,-1.3999999992631018e-08,-0.010987457082812508,0.01627076835312499,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics,2,equal_channel_dose,0.5,1.0,16,-0.021536453937500005,-0.02295668449999999,-0.05578088602187501,0.005921265389062489,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics,2,equal_channel_dose,1.0,2.0,16,0.005767244999999997,-0.016052003500000023,-0.020322114178124993,0.039682099882812495,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics,2,equal_total_effort,0.5,0.5,16,-0.03331364106250001,-0.024498986000000056,-0.060949522871874995,-0.01408846626562504,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics,2,equal_total_effort,1.0,1.0,16,-0.021536453937500005,-0.02295668449999999,-0.05578088602187501,0.005921265389062489,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics+command,3,equal_channel_dose,0.5,1.5,16,-0.02569830462500001,-0.024287192000000013,-0.060608603960937514,0.003716653134374988,0.0,0.0,0.0,0.0
logistics_constrained,forcegen+logistics+command,3,equal_channel_dose,1.0,3.0,16,0.005766656250000009,-0.006517210499999981,-0.02156445909375,0.04376878184062497,0.0,0.0,0.0,0.0
